user_id,channel,option,review,membership,recom_point
tina2390,MOBILE,대용량 250ml,아리따움 뽀오얀 미소 발효 립앤아이 리무버 제가 지금까지 썼던 리무버들 중에서도 제일 순하고 잘지워져요! 그래서 이리무버에 정착했습니당 눈에 자극적이지도 않고 잘지워니까 너무 편해요 ㅎㅎㅎ 원플러스원 행사 많이해서 행사할때마다 사놓고 계속해서 쓰고있어요 짱짱좋아요 ,일반,5
algmlw7,MOBILE,일반용량 120ml,"아모레퍼시픽의 프리미엄 뷰티 편집샵 아리따움이 16일부터 20일까지 아리따움 멤버십 회원을 대상으로 ‘8월 빅세일’을 실시한다. 막바지 여름 시즌을 맞아 대규모로 진행되는 이번 행사에서는, 멤버십 등급에 관계없이 모든 회원에게 동일한 할인율을 적용하여 아리따움의 인기 품목들을 최대 50&amp;#37;까지 파격적인 혜택으로 제공한다. 

50&amp;#37;의 통 큰 할인 혜택을 실시하는 아이템은 건조한 여름 피부에 집중 수분 공급을 도와주는 ",일반,5
yjsq00454,MOBILE,대용량 250ml,내가  항상 즐겨쓰는  제품이다~눈가. 입술 전용 인데 잘지워지고 이번에 원프러스 원으로  하나더  주니  단번에 구입했다.,스마트클럽,5
salttl0366,MOBILE,대용량 250ml,이 리무버 진짜 짱이예여!!! 원래 미샤 파란색 리무버 썼었는데 약간 독한? 느낌이얐어요 근데 키스미 마스카라가 잘 지워지기때뭉레 그것만 쓰다가 원쁠원 할때 이거 한번 써볼까 하고 쓰기 시작했는데 5통은 비운거같아요 마스카라는 무조건 키스미만 쓰는데 키스미도 자극없이 잘 지워지고 리무버에 색소도 안들어잇어서 순한것 같구 미끄덩 하는 느낌도 없이 개운해요 강추합니당,프라임,5
jsh0222,MOBILE,대용량 250ml,전에 써봤는데 너무 순하고 향도 좋은 리무버! 대신 값이 비싸서 못사고 있었는데 이번에 10주년 이벤트하면서 원플원을 하길래 대용량으로 구매해두었죠!! 너무 좋은 리무버에요 순하고 좋아서 다시 재구매하고 싶은데 이런 이벤트가 많았으면 좋겠어요 !! 여러 이벤트 많이 해주세요~,스마트클럽,5
Happyerica43,MOBILE,대용량 250ml,저번에 한번 이거로 바꾸고 나서는 계속 이것만 씁니다! 립앤아이메이크업 리무버인데 순하고 눈에 들어가도 괜찮더라구요 ㅎㅎ 워터프루프 제품도 잘 지워지고 순해서 앞으로도 이것만 쓸 생각입니당 할인행사할 때 쟁여두면 좋은 제품!,일반,5
songsk96,MOBILE,일반용량 120ml,벌써 8통째 쓰고 있습니다. 따로 설명할필요가 없어요 유명하다는 립앤아이 리무버 다써봣지만 이거만큼 순하고 세정력 좋은 리무버가 없어요 앞으로도 계속 이제품만 이용할 예정입니다~ 1&amp;#43;1으로 사니 가격도 저렴해서 몇개 미리 더 쟁여놓을까해요 ㅎㅎ,일반,5
bannie0618,MOBILE,일반용량 120ml,"요 제품은 정말 몇년동안 쭈욱 써오는 제품이랍니다.
세일할때 항상 2,3개씩 쟁겨놓고 쓰고 있어요~ 다른 고가의 제품은 많이 써보지 않아서 비교는 어렵지만, 제가 좀 예민한 편인데도 불구하고 눈, 립 지울때 따갑거나 하지 않고 매우 깨끗하게 잘 지워집니다~ 아주 만족해요",일반,5
bora6416,MOBILE,대용량 250ml,항상 잘 쓰고 있는 제품입니다. 세일때 쟁여둡니다. ,일반,5
naraeyaa,MOBILE,대용량 250ml,"평소에 타사 제품들만 사용하다가 이번에 10주년 행사로 1&amp;#43;1 구매했습니당. 예전에 친구가 눈따갑다고해서 망설이다가 안샀었는데 그때부터 살걸 후회... 전혀 안따갑고, 다른 제품처럼 기름기가 많은편이 아니라서 좀 산뜻하고 좋아요! 다음에 다쓰면 또살듯하네여",일반,5
myhy0803,MOBILE,일반용량 120ml,용량 선택도 가능하고 할인기간일 때 구매해놓으면 좋아요!,스마트클럽,5
alsrud9275,MOBILE,대용량 250ml,할인해서 샀어요~~~~~~,일반,5
choioys,MOBILE,대용량 250ml,평소에 쓰던 제품입니당. 좋아요 잘지유ㅓ지구,스마트클럽,5
taky89,PC,대용량 250ml,예전에도 써본 제품이라 재구매 했습니다. 성분이 100프로 좋은거 같지는 않은데 할인도 하고 무난해서 괜찮은것 같습니다. 한번씩 미끌거리는 느낌이 있기도 한데 대용량이라 좋습니다. 스마트클럽은 무배 적용이 되서 아리따움 홈페이지 더 자주 이용할 것 같습니다.,스마트클럽,5
qkrrbfl363,MOBILE,일반용량 120ml,뽀오얀 진짜 순해서 써도 안 따갑고 잘 지워져요,일반,5
yeabitna716,MOBILE,일반용량 120ml,"리무버 기능을 잘해요~ 당연히 세정력이 좋다는 얘기겠죠!
다만 조금 아쉽다면 용액이 착 붙는 느낌이 아니라서 양 조절에 실패하면 눈 안에 조금 자극이 있어요.
좋은 가격으로 잘 구매했습니다^^",일반,4
ab0704,APP,일반용량 120ml,좋아요~~추천합니다,프라임,5
jksukyo75,APP,대용량 250ml,"항상 애용하는 제품입니다
잘 지워집니다 감사합니다",일반,5
97061976,APP,대용량 250ml,"#뽀오얀 #립&amp;아이 리무버 #가성비템 #굳굳 #♡
#뽀오얀 #립&amp;아이 리무버 #가성비템 #굳굳 #♡
#뽀오얀 #립&amp;아이 리무버 #가성비템 #굳굳 #♡
#뽀오얀 #립&amp;아이 리무버 #가성비템 #굳굳 #♡
#뽀오얀 #립&amp;아이 리무버 #가성비템 #굳굳 #♡
 ",프라임,5
tmfrl3758,APP,대용량 250ml,평생쓸템!!!! 성분도 나쁘지않고 이렇게 가끔 원뿔원 세일해주셔서 감사해용~ 잘지워지고! 지울때 눈 아프지도않아서 좋아요,일반,5
ayang52,MOBILE,대용량 250ml,할인할때사서좋아요 대용량이라좋아요~~,프라임,5
dusgml1226,MOBILE,대용량 250ml,몇년전 쌍커풀 수술을 하기전 쌍액을 하고 다닐때부터 순하고 자극없이 잘 지워진다고 꾸준히 구매해왔던 리무버예요 쌍커풀 수술을 하고 화장을 해야하는 상황에서도 믿고 사용해 왔어서 세일할때는 왕창 사가는 저의 애장템입니다.. ,스마트클럽,5
ahnmirae,MOBILE,대용량 250ml,매번쓰는제품 상받았다고해서 쓰기시작했는데 다른젭품써보고나니 왜 상받았는지알겠어요. 그리고 다른거써보니 다시 이걸로 돌아오게되더라구요ㅜㅜ 조금만 묻혀서써도 잘지워지고 자극이없어서 따갑지도않습니다 이제품하고 클렌징오일하고 폼하면 아주말끔히지워져요~~,일반,5
ekqls7033,MOBILE,대용량 250ml,경성대 직영점 짱!,일반,5
jju3723,MOBILE,대용량 250ml,"마침 똑 떨어졌었는데 1&amp;#43;1 이라서 4개나 쟁여놨어요!!!
항상 재구매하는 아이템이라 이번에도 많이 샀답니다.
다른 제품 많이 싸봤지만 뽀오얀 만큼 눈 안따갑고 세정력 강한 립앤아이리무버는 보지 못했어요.ㅎㅎㅎ
다음에도 재구매 할게요!!!!
강추강추!!!!",스마트클럽,5
iqokyes,MOBILE,대용량 250ml,"몇통을 사용했는지 모를정도로 장기간 사용중인 아이템 입니다. 이미 순하다고 널리 알려져 있어, 세일기간에는 항상 품절인 아이템이기도 하죠. 저렴한 가격으로 잘지워지고 순한 아이템 구입하게 되어 만족스럽습니다. 미니 여행용으로도 나왔으먼 좋겠어요.",일반,5
asdf0805,MOBILE,일반용량 120ml,"몇 년 전 부터 사용했던 제품인데 1&amp;#43;1 행사로 잘 샀습니다~~ 눈에 자극도 거의 없고 너무 순해서 좋아요 !!
순한데도 마스카라까지 아주 꼼꼼하게 잘 지워져서 늘 만족하면서 사용중입니다~~ 다른 제품에는 눈길이 안가요 ㅋㅋ적극 추천이에요 !! ",일반,5
yu7952,MOBILE,대용량 250ml,"아무 생각 없이 갔는데
원플원이더라구요ㅋㅋㅋㅋ
용량도 많구
가격이 타사 제품들에 비해는
조금 가격이 있는 편이긴 하지만
그만큼 아이메이크업이랑 립이 잘 지워져서
돈 아깝다는 생각은 안들구요
자극적이지도 않고 순해서 애용하고 있어요
저는 개인적으로 향도 중요시하는데
이 제품만 쓰게 되더라구요ㅠㅠ
구미점에서 구매했는데 직원분들도 너무 친절하셔서
좋았습니다!",일반,5
cherry5682,MOBILE,대용량 250ml,"마스카라를 굉장히 좋아하고 존재감있는 속눈썹 연출을 좋아하는 스타일이라 아이리무버를 굉장히 꼼꼼하게 살펴보는 편인데요. 키스미, 페리페라 신제품, 에뛰드 컬픽스마스카라도 화장솜에 뭍혀서 올려둔다음에 닦아내니까 깨끗하게 잘 닦이거라고요! 세일기간이나 1&amp;#43;1기간에 구매하면 개이득이에요ㅜㅜ ",일반,5
